ARY|Ararat|AU|-37.309444|142.988611
GYL|Argyle|AU|-16.640833|128.450000
AGY|Argyle Downs|AU|-16.350000|128.750000
ARM|Armidale|AU|-30.533333|151.616667
AAB|Arrabury|AU|-26.750000|141.000000
AUD|Augustus Downs|AU|-18.666667|139.933333
AUU|Aurukun Mission|AU|-13.353889|141.720833
AWP|Austral Downs|AU|-20.333333|137.250000
AVG|Auvergne|AU|-15.750000|129.916667
AVV|Geelong|AU|-38.033333|144.466667
AYR|Ayr|AU|-19.666667|147.366667
BDD|Badu Island|AU|-10.116667|142.133333
BSJ|Bairnsdale|AU|-37.883333|147.566667
LCN|Balcanoona|AU|-30.533333|139.316667
BQW|Balgo Hills|AU|-20.133333|127.800000
BNK|Ballina|AU|-28.868889|153.562500
BZD|Balranald|AU|-34.633333|143.550000
ABM|Bamaga|AU|-10.950833|142.459444
BYX|Baniyala|AU|-13.200000|136.233333
BCI|Barcaldine|AU|-23.666667|145.333333
BKP|Barkly Downs|AU|-21.033333|138.250000
BWB|Barrow Island|AU|-20.800000|115.383333
BVW|Batavia Downs|AU|-12.450000|143.250000
BRT|Bathurst Island|AU|-11.766667|130.633333
BEE|Beagle Bay|AU|-12.983333|141.600000
BDW|Bedford Downs|AU|-17.300000|127.466667
BEU|Bedourie|AU|-24.333333|139.366667
BXF|Belburn|AU|64.233333|12.500000
BEO|Newcastle|AU|-33.033333|151.666667
BLN|Benalla|AU|-36.550000|145.983333
BXG|Bendigo|AU|-36.739444|144.329722
BTX|Betoota|AU|-25.633333|140.800000
BVZ|Beverley Springs|AU|-17.983333|125.450000
BCZ|Bickerton Island|AU|-13.783333|137.800000
BBE|Big Bell|AU|-27.416667|117.666667
BIW|Billiluna|AU|-19.583333|127.633333
ZBL|Biloela|AU|-24.400000|150.500000
BVI|Birdsville|AU|-25.897500|139.347500
BZP|Bizant|AU|-15.216667|144.633333
BKQ|Blackall|AU|-24.416667|145.416667
BLT|Blackwater|AU|-23.583333|148.883333
BFC|Bloomfield|AU|-15.900000|145.333333
GIC|Boigu Island|AU|-9.266667|142.200000
BLS|Bollon|AU|-28.033333|147.366667
BCK|Bolwarra|AU|-17.400000|144.166667
BOX|Borroloola|AU|-16.083333|136.300000
BQL|Boulia|AU|-22.966667|139.966667
BRK|Bourke|AU|-30.050000|145.950000
ZBO|Bowen|AU|-20.016667|148.216667
BMP|Brampton Island|AU|-20.783333|149.233333
BWQ|Brewarrina|AU|-29.966667|146.816667
BRJ|Bright|AU|-36.733333|146.966667
BHT|Brighton Downs|AU|-23.500000|141.633333
BNE|Brisbane|AU|-27.383333|153.116667
BHQ|Broken Hill|AU|-32.000000|141.466667
BME|Broome|AU|-17.944722|122.231667
BTD|Brunette Downs|AU|-18.633333|135.933333
BIP|Bulimba|AU|-16.150000|143.750000
BUY|Bunbury|AU|-33.378333|115.676667
BDB|Bundaberg|AU|-24.903889|152.318611
BUC|Burketown|AU|-17.750000|139.533333
BWT|Burnie|AU|-41.000000|145.733333
BQB|Bussellton|AU|-33.692500|115.395278
